platform,category,status,status_icon,method,detail,url,evidence,notes,date_checked
npm: echarts (dependents),data_visualization,ambiguous,⚠️,automated_api,"Apache ECharts (built-in map data). 2,322,682 weekly npm downloads. All downstream users inherit the geographic data (including Crimea classification) from this package.",https://www.npmjs.com/package/echarts,,Downstream propagation metric.,2026-03-31
npm: highcharts (dependents),data_visualization,ambiguous,⚠️,automated_api,"Highcharts (includes map collection). 2,269,785 weekly npm downloads. All downstream users inherit the geographic data (including Crimea classification) from this package.",https://www.npmjs.com/package/highcharts,,Downstream propagation metric.,2026-03-31
npm: leaflet (dependents),data_visualization,ambiguous,⚠️,automated_api,"Leaflet (tile-based, but commonly used with NE data). 4,203,074 weekly npm downloads. All downstream users inherit the geographic data (including Crimea classification) from this package.",https://www.npmjs.com/package/leaflet,,Downstream propagation metric.,2026-03-31
npm: plotly.js (dependents),data_visualization,ambiguous,⚠️,automated_api,"Plotly.js (built-in NE choropleth maps). 964,646 weekly npm downloads. All downstream users inherit the geographic data (including Crimea classification) from this package.",https://www.npmjs.com/package/plotly.js,,Downstream propagation metric.,2026-03-31
npm: topojson-client (dependents),data_visualization,ambiguous,⚠️,automated_api,"TopoJSON client (decodes NE-based data). 3,814,090 weekly npm downloads. All downstream users inherit the geographic data (including Crimea classification) from this package.",https://www.npmjs.com/package/topojson-client,,Downstream propagation metric.,2026-03-31
npm: world-atlas (dependents),data_visualization,ambiguous,⚠️,automated_api,"D3 world-atlas (TopoJSON country boundaries). 80,198 weekly npm downloads. All downstream users inherit the geographic data (including Crimea classification) from this package.",https://www.npmjs.com/package/world-atlas,,Downstream propagation metric.,2026-03-31
rnaturalearth (R package),data_visualization,incorrect,❌,source_code,Issue #116 requested fix — maintainer refused: 'We do not modify the underlying data.' Issue #27 similarly declined. Users must manually modify geometries with sf package. 50-100K monthly CRAN downloads.,https://github.com/ropensci/rnaturalearth/issues/116,,Maintainers explicitly declined to fix.,2026-03-31
"spData (R, 'Geocomputation with R')",data_visualization,incorrect,❌,source_code,Issue #50 'Improper map of Ukraine' — Crimea shown as Russian. Sourced from rnaturalearth. Used in the textbook 'Geocomputation with R' taught in universities worldwide.,https://github.com/Nowosad/spData/issues/50,,,2026-03-31
"IP Geolocation (extended, ip-api.com)",ip_geolocation,ambiguous,⚠️,automated_api,"Tested 8 Crimean IPs. Pre-2014 Ukrainian ISPs (5 tested): 3 resolve UA, 0 resolve RU, 2 resolve other (re-routed). Post-2014 Russian entities (3 tested): 3 resolve RU, 0 resolve UA. Pattern: ISP registration origin determines geolocation, not physical location in Crimea.",https://ip-api.com/,91.207.56.1 (CrimeaCom AS48031): HU; 176.104.32.1 (SevStar AS56485): UA; 46.63.0.1 (Sim-Telecom AS198948): UA; 83.149.22.1 (Miranda-Media AS201776): RU; 185.31.160.1 (CrimeaTelecom AS42961): RU; 5.133.64.1 (KNET AS28761): LT; 193.19.228.1 (CrimeanFederalUniv): UA; 95.47.152.1 (Win-Mobile/K-Telecom): RU,"Some Ukrainian ISPs have re-routed through third countries (Hungary, Lithuania) rather than through Russian infrastructure. IP geolocation resolves the ISP's registration, not the end-user's physical location.",2026-03-31
MaxMind GeoIP2,ip_geolocation,correct,✅,automated_data,"Industry-standard IP geolocation. Classifies Crimea under Ukraine (UA), region codes UA-43 (Krym) and UA-40 (Sevastopol). Data source: GeoNames. ~96% accuracy for Crimean visitors.",https://dev.maxmind.com/release-note/geoip-accuracy-in-crimea/,,,2026-03-31
ip-api.com,ip_geolocation,correct,✅,automated_api,"Bulk test: 90 lookups across 90 Crimean IPs from 9 ASNs — 14 RU (16%), 48 UA (53%), 28 other.",https://ip-api.com,91.207.56.85 (AS48031): HU; 91.207.56.169 (AS48031): HU; 91.207.57.85 (AS48031): BE; 91.207.57.169 (AS48031): BE; 91.207.58.85 (AS48031): RU; 91.207.58.169 (AS48031): RU; 91.207.59.85 (AS48031): RU; 91.207.59.169 (AS48031): RU; 176.104.32.85 (AS56485): UA; 176.104.32.169 (AS56485): UA; 176.104.33.85 (AS56485): UA; 176.104.33.169 (AS56485): UA; 176.104.34.85 (AS56485): UA; 176.104.34.169 (AS56485): UA; 176.104.35.85 (AS56485): UA; 176.104.35.169 (AS56485): UA; 176.104.36.85 (AS56485): UA; 176.104.36.169 (AS56485): UA; 176.104.37.85 (AS56485): UA; 176.104.37.169 (AS56485): UA; 46.63.0.85 (AS198948): UA; 46.63.0.169 (AS198948): UA; 46.63.1.85 (AS198948): UA; 46.63.1.169 (AS198948): UA; 46.63.2.85 (AS198948): UA; 46.63.2.169 (AS198948): UA; 46.63.4.85 (AS198948): UA; 46.63.4.169 (AS198948): UA; 46.63.8.85 (AS198948): UA; 46.63.8.169 (AS198948): UA ... (+60 more),"Tested IP ranges from 9 Crimean ASNs including CrimeaCom, SevStar, Miranda-Media, CrimeaTelecom, etc. All prefixes were originally allocated to Ukrainian entities by RIPE NCC.",2026-03-31
ipapi.co,ip_geolocation,correct,✅,automated_api,"Tested 3 Crimean IPs: 2 resolved to UA, 0 resolved to RU, 1 other.",https://ipapi.co,"91.207.56.1 (CrimeaCom (Ukrainian ISP, AS48031)): Hungary (HU); 176.104.32.1 (SevStar (Sevastopol ISP, AS56485)): Ukraine (UA); 46.63.0.1 (Sim-Telecom (Simferopol, AS198948)): Ukraine (UA)","Pre-2014, all these IPs were registered to Ukrainian entities. Post-annexation, some were re-registered under Russian entities.",2026-03-31
ipinfo.io,ip_geolocation,correct,✅,automated_api,"Bulk test: 30 lookups across 90 Crimean IPs from 9 ASNs — 5 RU (17%), 16 UA (53%), 9 other.",https://ipinfo.io,91.207.56.85 (AS48031): HU; 91.207.57.169 (AS48031): BE; 91.207.59.85 (AS48031): RU; 176.104.32.169 (AS56485): UA; 176.104.34.85 (AS56485): UA; 176.104.35.169 (AS56485): UA; 176.104.37.85 (AS56485): UA; 46.63.0.169 (AS198948): UA; 46.63.2.85 (AS198948): UA; 46.63.4.169 (AS198948): UA; 83.149.16.85 (AS201776): RU; 83.149.17.169 (AS201776): RU; 83.149.22.85 (AS201776): RU; 83.149.23.169 (AS201776): RU; 185.65.245.85 (AS201776): UA; 37.57.0.169 (AS42961): UA; 37.57.2.85 (AS42961): UA; 37.57.4.169 (AS42961): UA; 37.57.16.85 (AS42961): UA; 195.22.220.169 (AS28761): AR; 195.22.222.85 (AS28761): PE; 195.22.223.169 (AS28761): HK; 91.244.201.85 (AS47598): FR; 91.244.202.169 (AS47598): FR; 178.158.192.85 (AS44629): UA; 178.158.193.169 (AS44629): UA; 178.158.195.85 (AS44629): UA; 178.158.196.169 (AS44629): UA; 5.133.57.85 (AS203070): IT; 5.133.58.169 (AS203070): IT,"Tested IP ranges from 9 Crimean ASNs including CrimeaCom, SevStar, Miranda-Media, CrimeaTelecom, etc. All prefixes were originally allocated to Ukrainian entities by RIPE NCC.",2026-03-31
Google Maps (browser check),map_service,ambiguous,⚠️,automated_api,Google Maps Crimea — dashed border (disputed default from non-RU location). Screenshot saved.,https://www.google.com/maps/place/Crimea/,,,2026-03-31
Mapbox,map_service,ambiguous,⚠️,source_code,11 worldviews. US default. RU worldview added v3.4. NO Ukraine worldview exists — same asymmetry as HERE Maps.,https://docs.mapbox.com/help/glossary/worldview/,,Absence of UA worldview while RU exists is a key finding.,2026-03-31
OSM Overpass API (admin boundaries),map_service,correct,✅,automated_api,"Autonomous Republic of Crimea: admin_level=4, ISO3166-2=UA-43, is_in:country_code=UA. OSM's structured data explicitly assigns Crimea to Ukraine via ISO code, despite the ""on the ground"" mapping ambiguity.",https://wiki.openstreetmap.org/wiki/WikiProject_Crimea,"ISO3166-2=UA-43, is_in:country_code=UA, wikidata=Q756294",,2026-03-31
OpenStreetMap Nominatim,map_service,correct,✅,automated_api,"Tested 6 Crimean cities: 6 returned UA, 0 returned RU. OSM follows 'on the ground' rule but Nominatim currently returns all Crimean cities under Ukraine.",https://nominatim.openstreetmap.org/,Simferopol=UA; Sevastopol=UA; Yalta=UA; Kerch=UA; Feodosia=UA; Evpatoria=UA,"OpenStreetMap has a complex policy for Crimea (see WikiProject Crimea). The 'on the ground' rule could support either classification, but OSM's current Nominatim results show Ukraine.",2026-03-31
GitHub: datasets/geo-countries,open_source,n/a,➖,source_code,Frictionless Data geo-countries dataset. Crimea classified as: not_mentioned.,https://raw.githubusercontent.com/datasets/geo-countries/master/data/countries.geojson,,,2026-03-31
GitHub: johan/world.geo.json,open_source,n/a,➖,source_code,Popular world GeoJSON (4k+ stars). Crimea classified as: not_mentioned.,https://raw.githubusercontent.com/johan/world.geo.json/master/countries.geo.json,,,2026-03-31
Natural Earth (110m countries),open_source,incorrect,❌,automated_data,"Russia's 110m polygon CONTAINS Crimea coordinates (34.1E, 44.9N). Ukraine's polygon does NOT. Every library using this resolution inherits this.",https://raw.githubusercontent.com/nvkelso/natural-earth-vector/master/geojson/ne_110m_admin_0_countries.geojson,"Russia contains Crimea: True, Ukraine contains Crimea: False",,2026-03-31
Natural Earth (50m countries),open_source,incorrect,❌,automated_data,"Russia's 50m polygon CONTAINS Crimea coordinates (34.1E, 44.9N). Ukraine's polygon does NOT. Every library using this resolution inherits this.",https://raw.githubusercontent.com/nvkelso/natural-earth-vector/master/geojson/ne_50m_admin_0_countries.geojson,"Russia contains Crimea: True, Ukraine contains Crimea: False",,2026-03-31
Natural Earth (disputed areas layer),open_source,incorrect,❌,source_code,"Crimea explicitly classified: SOVEREIGNT=Russia, SOV_A3=RUS. Note: 'Admin. by Russia; Claimed by Ukraine'. Natural Earth is THE upstream source for D3, Plotly, Highcharts, ECharts, and most web map libraries.",https://raw.githubusercontent.com/nvkelso/natural-earth-vector/master/geojson/ne_10m_admin_0_disputed_areas.geojson,"SOVEREIGNT: Russia, ADM0_A3: RUS, NOTE_ADM0: Annexed by Rus.",Natural Earth uses de facto boundaries. Offers 31 point-of-view variants but the default assigns Crimea to Russia.,2026-03-31
Natural Earth (ne_110m_admin_0_countries),open_source,n/a,➖,source_code,"Crimea classified as: not_mentioned. Natural Earth uses de facto boundaries. This dataset is the upstream source for D3, Plotly, Highcharts, and most web mapping libraries.",https://raw.githubusercontent.com/nvkelso/natural-earth-vector/master/geojson/ne_110m_admin_0_countries.geojson,,Natural Earth offers 31 point-of-view variants but the default (most downloaded) uses de facto control.,2026-03-31
Natural Earth (ne_50m_admin_0_countries),open_source,n/a,➖,source_code,"Crimea classified as: not_mentioned. Natural Earth uses de facto boundaries. This dataset is the upstream source for D3, Plotly, Highcharts, and most web mapping libraries.",https://raw.githubusercontent.com/nvkelso/natural-earth-vector/master/geojson/ne_50m_admin_0_countries.geojson,,Natural Earth offers 31 point-of-view variants but the default (most downloaded) uses de facto control.,2026-03-31
Natural Earth Propagation (aggregate),open_source,incorrect,❌,automated_api,"Natural Earth's Crimea=Russia propagates to: 30,403,325 weekly npm downloads, 1,215,492 monthly PyPI downloads, 4,202 dependent repositories, 17,971 dependent packages. Only Highcharts (of major libraries) overrides NE to correctly assign Crimea to Ukraine.",https://www.naturalearthdata.com/,,Aggregate propagation metric across npm + PyPI ecosystems.,2026-03-31
iso3166-2-db (esosedi/3166),open_source,incorrect,❌,source_code,"Default mode includes Crimea as part of Russia. Configurable to UN perspective (excludes Crimea from Russia), but most users get the default. ~10K weekly npm downloads.",https://github.com/esosedi/3166,,Could change default to UN perspective.,2026-03-31
"mledoze/countries (GitHub, 6.2K stars)",open_source,correct,✅,automated_data,"CORRECTED: Direct GeoJSON verification — Crimea IN Ukraine polygon (358 points), EXCLUDED from Russia. Uses thematicmapping.org, NOT Natural Earth. Breaks the NE propagation chain.",https://github.com/mledoze/countries,ukr.geo.json: 358 Crimea points. rus.geo.json: 0,,2026-03-31
mledoze/countries (area analysis),open_source,incorrect,❌,automated_data,"Russia area listed as 17,098,242 km² — approximately 23,000 km² more than pre-2014 figure (~17,075,200). This suggests Crimea's area is included in Russia's total. Ukraine area: 603,500 km² (close to CIA figure of 603,550 which includes Crimea). 6.2K GitHub stars, one of the most popular country data repos.",https://github.com/mledoze/countries,"Russia area=17,098,242, pre-2014 without Crimea ~17,075,200. Diff ~23K km².",,2026-03-31
npm: country-list,open_source,n/a,➖,automated_data,"Country names and ISO codes (~200k weekly downloads). Does not list Crimea as a separate entity (follows ISO 3166-1 which lists Ukraine and Russia as countries, no Crimea subdivision).",https://unpkg.com/country-list@2.4.1/data.json,,,2026-03-31
npm: i18n-iso-countries,open_source,n/a,➖,automated_data,"ISO 3166-1 country names (~4M weekly downloads). Does not list Crimea as a separate entity (follows ISO 3166-1 which lists Ukraine and Russia as countries, no Crimea subdivision).",https://unpkg.com/i18n-iso-countries@7.14.0/langs/en.json,,,2026-03-31
CIA World Factbook,reference,correct,✅,automated_data,"Ukraine entry: area = 603,550 km² (includes Crimea). States ""Russia annexed Crimea in 2014, approximately 27,000 km²"". Ukraine admin divisions include Crimea. Clear framing: Crimea is Ukrainian territory, illegally annexed.",https://www.cia.gov/the-world-factbook/countries/ukraine/,"Geography note: Russia annexed Crimea in 2014, area ~27,000 km²",,2026-03-31
GeoNames,reference,correct,✅,automated_data,"Major open geographic database. Lists Crimea in Ukraine's administrative hierarchy. Upstream source for MaxMind, postal code databases, and many geocoding services.",https://www.geonames.org/UA/administrative-division-ukraine.html,,,2026-03-31
Wikidata (Q7835: Crimea),reference,ambiguous,⚠️,automated_api,"Crimea (Q7835) lists BOTH Ukraine (Q212) and Russia (Q159) as country (P17), both at ""preferred"" rank. Admin territories: Autonomous Republic of Crimea (UA entity, Q756294) AND Republic of Crimea (RU entity, Q15966495) both at ""preferred"" rank. Wikidata feeds many downstream knowledge systems.",https://www.wikidata.org/wiki/Q7835,"P17: Q212 (Ukraine, preferred, from 1991), Q159 (Russia, preferred, from 2014)","Dual ""preferred"" rank = treats both claims as equally valid.",2026-03-31
Wikipedia (English),reference,ambiguous,⚠️,automated_api,Article summary mentions both Ukraine and Russia.,https://en.wikipedia.org/wiki/Crimea,"Crimea is a peninsula in Eastern Europe, on the northern coast of the Black Sea, almost entirely surrounded by the Black Sea and the smaller Sea of Azov. The Isthmus of Perekop connects the peninsula to Kherson Oblast in mainland Ukraine. To the east, the Crimean Bridge, constructed in 2018, spans t",,2026-03-31
Wikipedia (French),reference,ambiguous,⚠️,automated_api,Geographic description mentioning both Ukraine and Russia. Does not lead with sovereignty statement.,https://fr.wikipedia.org/wiki/Crim%C3%A9e,"La Crimée est une péninsule d'Europe de l'Est, située au sud de l'oblast de Kherson en Ukraine...",,2026-03-31
Wikipedia (German),reference,ambiguous,⚠️,automated_api,Article summary unclear framing.,https://de.wikipedia.org/wiki/Crimea,"Crimea bezeichnetdie Halbinsel Krim
Krim (Begriffsklärung)
einen Asteroiden, siehe (1140) Crimea
das auf der Halbinsel Krim gelegenes Kernkraftwerk Krim
Crimea (Louisiana), Ort in den Vereinigten Staaten",,2026-03-31
Wikipedia (Italian),reference,incorrect,❌,automated_api,Article summary frames as Russian without Ukrainian context.,https://it.wikipedia.org/wiki/Crimea,"La Crimea è la più grande penisola affacciata sul Mar Nero ed è collegata alla terraferma dall'istmo di Perekop, che la unisce al resto dell'Ucraina; dal 2018 è collegata alla Russia dal ponte di Crimea, situato sullo stretto di Kerč'. Chiude a sud la sezione nord-orientale del Mar Nero, il mar d'Az",,2026-03-31
Wikipedia (Russian),reference,incorrect,❌,automated_api,"Russian Wikipedia: Crimea article frames it as Russian territory (""Republic of Crimea"" as subject of Russian Federation). Reflects Russian legal position.",https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8B%D0%BC,,,2026-03-31
Wikipedia (Spanish),reference,ambiguous,⚠️,automated_api,Article summary unclear framing.,https://es.wikipedia.org/wiki/Crimea,"Crimea es una península ubicada en la costa septentrional del mar Negro, en Europa Oriental. En la actualidad es un territorio disputado entre Rusia y Ucrania, controlado por el primero pero reconocido por la comunidad internacional como parte del segundo.",,2026-03-31
Wikipedia (Ukrainian),reference,correct,✅,automated_api,"Ukrainian Wikipedia: Crimea article states territory of Ukraine, occupied by Russia. Clear sovereignty framing consistent with Ukrainian government position.",https://uk.wikipedia.org/wiki/%D0%9A%D1%80%D0%B8%D0%BC,,,2026-03-31
Bing Search (knowledge panel),search_engine,ambiguous,⚠️,automated_api,Searched 'Crimea' on Bing. Knowledge panel: both_mentioned. Screenshot saved.,https://www.bing.com/search?q=Crimea,country=both_mentioned,,2026-03-31
DuckDuckGo,search_engine,ambiguous,⚠️,automated_api,Instant Answer API returns Wikipedia as source for Crimea but no country field in the structured response. Needs browser-based manual verification for knowledge panel content.,https://duckduckgo.com/?q=Crimea,,,2026-03-31
DuckDuckGo (info box),search_engine,ambiguous,⚠️,automated_api,Searched 'Crimea' on DuckDuckGo. Info box: both_mentioned. Screenshot saved.,https://duckduckgo.com/?q=Crimea,country=both_mentioned,,2026-03-31
Google Search (knowledge panel),search_engine,ambiguous,⚠️,automated_api,Searched 'Crimea' on Google. Knowledge panel country: None. Screenshot saved.,https://www.google.com/search?q=Crimea,country=None,,2026-03-31
Transfermarkt,sports,correct,✅,automated_api,Simferopol-based clubs listed under Ukrainian football hierarchy. Crimean player searches return Ukraine references.,https://www.transfermarkt.com/,,,2026-03-31
Cloudflare CDN,tech_infrastructure,correct,✅,automated_data,"Classifies Crimea as country=UA, subdivision=UA-43. Affects ~20% of all websites. WAF RU-block does NOT capture Crimea. Crimean users appear as Ukrainian.",https://community.cloudflare.com/t/waf-block-sanctioned-countries-crimea/401191,,One of most significant findings: internet infra layer treats Crimea as UA.,2026-03-31
Domain TLD (.crimea.ua/.crimea.ru),tech_infrastructure,correct,✅,automated_data,.crimea.ua EXISTS and is active/registrable. .crimea.ru does NOT exist. DNS hierarchy recognizes Crimea under Ukraine TLD.,https://nic.ua/en/domains/.crimea.ua,,,2026-03-31
Domain TLD (.ru/.ua),tech_infrastructure,ambiguous,⚠️,automated_api,"crimea.ru resolves (78.110.50.145). crimea.ua resolves (5.9.228.67). Both ccTLDs are active for Crimea-related domains. simferopol.ru resolves; simferopol.ua does not. Russian registrars readily serve Crimean entities; Ukrainian .ua registration requires Ukrainian legal entity status, effectively excluding occupied territory.",https://www.iana.org/domains/root/db,"crimea.ru=78.110.50.145, crimea.ua=5.9.228.67, simferopol.ua=NXDOMAIN","The asymmetry (simferopol.ru works, simferopol.ua does not) reflects operational control vs legal sovereignty.",2026-03-31
Google libaddressinput,tech_infrastructure,correct,✅,source_code,Google's address validation library (615 stars). Classifies Crimean addresses under UA (Ukraine). Powers address forms in Android apps and Chrome autofill.,https://github.com/google/libaddressinput,,,2026-03-31
Google libphonenumber,tech_infrastructure,ambiguous,⚠️,source_code,"Crimean phones classified under BOTH countries. Under Russia (+7): 2 entries (e.g., 736|Simferopol). Under Ukraine (+380): 3 entries (e.g., 38065|Crimea). Carrier data lists 4 operators for +7-978 (Crimean mobile): Elemte-Invest, K-Telecom Ltd, MTS, Sevastopol TELECOM.",https://github.com/google/libphonenumber,"RU entries: 736|Simferopol; 7869|Sevastopol. UA entries: 3806297|Mangosh/Yalta, Donetsk; 38065|Crimea; 38069|Sevastopol city","libphonenumber (17k+ GitHub stars) is used by Android, Chrome, and most phone number validation worldwide. Post-2014, Russia assigned +7-978 prefix to Crimean mobiles while Ukraine's +380-65 prefix remains in the database.",2026-03-31
"IANA Timezone Database (zone.tab, legacy)",tech_infrastructure,correct,✅,source_code,Legacy zone.tab maps Europe/Simferopol to 'UA'. Older format only supports one country code per zone.,https://github.com/eggert/tz,UA	+4457+03406	Europe/Simferopol	Crimea,,2026-03-31
IANA Timezone Database (zone1970.tab),tech_infrastructure,ambiguous,⚠️,source_code,"Europe/Simferopol mapped to country codes: 'RU,UA'. In zone1970.tab format, 'RU,UA' means both countries claim the zone. Russia is listed FIRST. The older zone.tab lists only 'UA'.",https://github.com/eggert/tz,"RU,UA	+4457+03406	Europe/Simferopol	Crimea","Key git history: 2014-03-19 'Crimea switches to Moscow time', 2016-12-06 'Just say Crimea rather than going into politics'. The tz database switched Crimea from MSK+2 (EET) to MSK (Moscow time) in 2014. This affects every OS, programming language, and app that uses tzdata.",2026-03-31
OurAirports (SIP/Simferopol),tech_infrastructure,correct,✅,automated_data,"Simferopol International Airport: ICAO=UKFF (UK=Ukraine prefix), IATA=SIP, country=UA, region=UA-43. Alt ICAO: URFF (UR=Russia). Primary code is Ukrainian; Russian code listed as alternate.",https://ourairports.com/airports/UKFF/,"CSV: country_iso=UA, region=UA-43, ident=UKFF, alt=URFF",,2026-03-31
Postal code databases (Russian Post),tech_infrastructure,incorrect,❌,automated_data,Russia assigned postal codes 295000-299999 to Crimea post-2014. zauberware/postal-codes-json-xml-csv (397 stars) and sanmai/pindx include Crimean codes under RU.,https://github.com/zauberware/postal-codes-json-xml-csv,,Reflects Russian Post operational reality.,2026-03-31
libphonenumber-js (npm),tech_infrastructure,incorrect,❌,source_code,"Reimplementation of Google libphonenumber. +7-365/978 (Crimean) numbers parsed as RU. ~13.6M weekly npm downloads. Combined with google-libphonenumber wrapper (~1.6M/wk), total phone number library impact is ~15.2M weekly downloads.",https://www.npmjs.com/package/libphonenumber-js,,,2026-03-31
moment-timezone (npm),tech_infrastructure,incorrect,❌,source_code,Issue #954 requested dissociating Europe/Simferopol from RU. Closed without change. Maintainer: 'We directly consume IANA data. No extra decision layer.' ~12M weekly npm downloads.,https://github.com/moment/moment-timezone/issues/954,,,2026-03-31
Booking.com (browser check),travel,correct,✅,automated_api,Booking.com returns no results for Simferopol (sanctions). Screenshot saved.,https://www.booking.com/searchresults.html?ss=Simferopol,,,2026-03-31
Google Flights (SIP airport),travel,correct,✅,automated_data,SIP (Simferopol) airport classified under Ukraine. ICAO: UKFF (UK=Ukraine prefix). Alt ICAO: URFF (UR=Russia). All flights suspended since Feb 2022.,https://www.google.com/travel/flights,"OurAirports data: country=UA, region=UA-43",,2026-03-31
Skyscanner,travel,ambiguous,⚠️,automated_api,SIP airport page — country unclear from HTML,https://www.skyscanner.com/transport/flights/sip/,,SIP = Simferopol International Airport (IATA code).,2026-03-31
Skyscanner (SIP airport),travel,ambiguous,⚠️,automated_api,SIP airport page accessible but country classification unclear from HTML. Airport suspended — no active flights.,https://www.skyscanner.com/transport/flights/sip/,,,2026-03-31
TripAdvisor (browser check),travel,ambiguous,⚠️,automated_api,TripAdvisor Crimea page — country unclear. Screenshot saved.,https://www.tripadvisor.com/Tourism-g313972-Crimea-Vacations.html,,,2026-03-31
AccuWeather,weather,correct,✅,automated_api,"Simferopol listed as 'Simferopol, Crimea, Ukraine'. URL path contains /ua/ country code.",https://www.accuweather.com/en/ua/simferopol/322464/weather-forecast/322464,,"Weather services rely on GeoNames and ISO 3166, which classify Crimea under Ukraine.",2026-03-31
AccuWeather (browser verified),weather,correct,✅,automated_api,AccuWeather URL contains /ua/ (Ukraine). Simferopol classified as Ukraine.. Screenshot saved.,https://www.accuweather.com/en/ua/simferopol/322464/weather-forecast/322464,,,2026-03-31
Meteoblue,weather,correct,✅,automated_api,Simferopol listed under Ukraine.,https://www.meteoblue.com/en/weather/week/simferopol_ukraine_693805,,"Weather services rely on GeoNames and ISO 3166, which classify Crimea under Ukraine.",2026-03-31
TimeAndDate.com,weather,correct,✅,automated_api,"Simferopol listed as 'Simferopol, Ukraine'.",https://www.timeanddate.com/weather/ukraine/simferopol,,"Weather services rely on GeoNames and ISO 3166, which classify Crimea under Ukraine.",2026-03-31
Ventusky,weather,correct,✅,automated_api,Simferopol listed under Ukraine.,https://www.ventusky.com/?p=44.95;34.10,,"Weather services rely on GeoNames and ISO 3166, which classify Crimea under Ukraine.",2026-03-31
Weather Atlas,weather,correct,✅,automated_api,Simferopol climate data listed under Ukraine.,https://www.weather-atlas.com/en/ukraine/simferopol-climate,,"Weather services rely on GeoNames and ISO 3166, which classify Crimea under Ukraine.",2026-03-31
Weather Spark,weather,correct,✅,automated_api,Lists 'Average Weather in Simferopol Ukraine'.,https://weatherspark.com/y/98362/Average-Weather-in-Simferopol-Ukraine,,"Weather services rely on GeoNames and ISO 3166, which classify Crimea under Ukraine.",2026-03-31
Weather Underground,weather,correct,✅,automated_api,Simferopol listed under Ukraine. URL path /ua/.,https://www.wunderground.com/forecast/ua/simferopol,,"Weather services rely on GeoNames and ISO 3166, which classify Crimea under Ukraine.",2026-03-31
Weather-Forecast.com,weather,correct,✅,automated_api,Simferopol listed under Ukraine.,https://www.weather-forecast.com/locations/Simferopol,,"Weather services rely on GeoNames and ISO 3166, which classify Crimea under Ukraine.",2026-03-31
weather.com (browser verified),weather,correct,✅,automated_api,weather.com shows Simferopol under Ukraine. Screenshot saved.,https://weather.com/,,,2026-03-31
