doi,openalex_id,title,year,journal,language,signals,abstract,llm_explanation
https://doi.org/10.37490/s221979310023933-9,https://openalex.org/W4384572717,Assessment of the degree of heterogeneity of the ethnic structure of the population of the Crimea from 1897 to 2014,2023,Pskov region studies journal,en,Republic of Crimea,"The Republic of Crimea is one of the most multi-ethnic subjects of the Russian Federation, the territory of which can also be described as a pronounced ethno-contact zone. The aim of the study is to assess the heterogeneity of the ethnic structure of the Crimean population in the period between the ","RUSSIA: The abstract consistently refers to ""the Republic of Crimea"" as ""one of the most multi-ethnic subjects of the Russian Federation,"" establishing Crimea's incorporation into Russian administrati"
https://doi.org/10.1055/s-0039-1700599,https://openalex.org/W2984904792,A Case Series of Fetal Valproate Syndrome in the Republic of Crimea,2019,Journal of Neurosciences in Rural Practice,en,"Republic of Crimea, Republic of Crimea","Valproic acid or valproate is a well-recognized potent teratogen. Antenatal exposure to this drug can cause fetal valproate syndrome (FVS), which is a constellation of distinctive dysmorphic features and congenital malformations. Despite an abundance of reports and registries about this syndrome, th","RUSSIA: The paper uses ""Republic of Crimea"" as the primary geographic descriptor and mentions ""Russia"" as the broader national context without any qualifier indicating contested sovereignty or alterna"
https://doi.org/10.15688/jvolsu4.2016.6.8,https://openalex.org/W2561278131,Reunion of Crimea and Russia in the Context of Trends and Contradictions of Contemporary Policy-Making,2016,Vestnik Volgogradskogo gosudarstvennogo universiteta Serija 4 Istorija Regionovedenie Mezhdunarodnye otnoshenija,en,"reunification of Crimea, reunification of Crimea","The process of reunification of Crimea and the Russian Federation is considered in the context of the content, the basic trends and contradictions of the modern political process at the global, regional and national government levels. Analyzing the reunification of Crimea with Russia, the authors re","RUSSIA

The paper uses ""reunification"" (not ""annexation""), treats the 2014 incorporation as a completed process to analyze rather than a contested claim, and was published in a Russian state universit"
https://doi.org/10.26491/mhwm/95217,https://openalex.org/W2901015824,Water deficits in the water economics complex of Crimea,2018,Meteorology Hydrology and Water Management,en,Republic of Crimea,"In recent years, the natural and economic situation in the Republic of Crimea has developed in such a way that the amount of available water resources is less than the amount of water necessary for the socio-economic development of the peninsula. This article considers one of the main water manageme","RUSSIA

The paper uses ""Republic of Crimea"" as the default territorial designation without any qualifier indicating disputed status, occupation, or Ukrainian sovereignty claims, which aligns with Russ"
https://doi.org/10.1007/978-3-319-53487-9_69,https://openalex.org/W2616095009,Landslide Stabilization in Building Practice: Methodology and Case Study from Autonomic Republic of Crimea,2017,,en,Republic of Crimea,,"RUSSIA

The title uses ""Autonomic Republic of Crimea"" (the Russian administrative designation post-2014) rather than ""Crimea, Ukraine"" or language acknowledging occupation, and the regex classificatio"
https://doi.org/10.3103/s0003701x19030034,https://openalex.org/W2982409076,The Development of the Optimal Model of Energy Resources Management in Energy Systems of the Republic of Crimea and the Middle East,2019,Applied Solar Energy,en,"Republic of Crimea, Republic of Crimea, Republic of Crimea",The factors influencing the energy system of the Republic of Crimea were studied. Analysis of generating capacity to ensure reliable power supply to consumers and sustainability of the power system in different periods of the year was carried out. Research of the renewable energy role in the power s,"RUSSIA

The paper consistently uses ""Republic of Crimea"" without any qualifier (such as ""occupied,"" ""disputed,"" or ""Ukrainian"") and treats it as an administrative entity capable of having its own ener"
https://doi.org/10.1134/s0869593820040036,https://openalex.org/W3047437769,"Radiolarians and Stratigraphy of the Upper Albian in Simferopol Area, Republic of Crimea",2020,Stratigraphy and Geological Correlation,en,Republic of Crimea,New radiolarian data from the type section of the upper Albian Crolanium triangulare Zone located near the settlement of Mar’ino (southwestern Crimea) are reported. The Crolanium triangulare Zone has been traced in the additional section near the settlement of Kirpichnoye; radiolarians have been stu,"RUSSIA

The paper uses ""Republic of Crimea"" as the official designation without qualification, which reflects the Russian administrative terminology adopted after 2014, treating it as an established R"
https://doi.org/10.22412/1995-042x-11-6-9,https://openalex.org/W2766826201,DEVELOPMENT OF TOURISM AND RECREATIONAL COMPLEX OF CRIMEA,2017,Services in Russia and abroad,en,"Republic of Crimea, Republic of Crimea, Republic of Crimea","The article examines the modern problems of the tourism industry development in the Republic of Crimea with the aim of elaborating comprehensive measures for the development of tourism infrastructure in the region, assign tasks, public-private partnerships in the management of tourism and recreation","RUSSIA

The paper consistently refers to ""Republic of Crimea"" as a standalone administrative entity without any qualifier indicating Ukrainian sovereignty, Ukrainian context, or acknowledgment of cont"
https://doi.org/10.17150/2308-6203.2018.7(4).615-628,https://openalex.org/W2980914714,Modern Regional Media Discourse Features (on the Example of the Republic of Crimea Printed Press),2018,Theoretical and Practical Issues of Journalism,en,"Republic of Crimea, Republic of Crimea","The mass media regional discourse is a part of mass media national space, simultaneously it has certain features that reflect regional specifics. These features are systematically displayed by mass media agenda, by the ways of information presentation, interpretation of socially significant events, ","RUSSIA: Treats Crimea as Russian territory, uses Russian administrative names as default.

The paper refers to the region exclusively as ""Republic of Crimea"" without any qualifier acknowledging Ukrain"
https://doi.org/10.18470/1992-1098-2017-1-148-160,https://openalex.org/W2729168140,TO THE QUESTION OF THE RECREATIONAL SPACE FORMATION (ON THE EXAMPLE OF THE REPUBLIC OF CRIMEA),2017,South of Russia ecology development,en,"REPUBLIC OF CRIMEA, Republic of Crimea, Republic of Crimea","Aim. The aim of the research is to identify the specifics of the attractiveness of the recreational space of resort areas for the sub-federal units of different levels. Methods. In the research of approaches to the organization of recreation and structural features of the territorial space, we appli","RUSSIA

The paper consistently refers to ""Republic of Crimea"" without any qualifier indicating contested sovereignty, and it is published in a Russian academic journal, employing Russian administrativ"
https://doi.org/10.35688/2413-8452-2018-01-001,https://openalex.org/W2896067508,The pollution of water bodies in the Crimea by wastewater,2018,Ekologiya i stroitelstvo,en,"Republic of Crimea, Republic of Crimea",The main purpose of the research was the analysis of the quantitative and qualitative composition of wastewater discharged into water bodies of the Republic of Crimea. Pollution of the Crimean water resources is a result of human activities and it began a long time ago and is mainly due to populatio,"RUSSIA: The paper refers to ""Republic of Crimea"" as a standalone administrative entity without any qualifier indicating Ukrainian sovereignty, occupation, or contested status, implicitly treating it a"
https://doi.org/10.17516/1997-1370-2016-9-4-978-985,https://openalex.org/W2460819518,The process of Transformation in the Modern Crimea,2016,Journal of Siberian Federal University Humanities & Social Sciences,en,Republic of Crimea,"The current events in Crimea represent a clear transit from one political and cultural mode to another.&#13;\nIt does not include a radical economic element, i.e. a move toward market relations, since this line has&#13;\nalready been taken and implemented to some degree in the analyzed societies. As","RUSSIA: Treats Crimea as Russian territory, uses Russian administrative names as default.

The paper's publication in a Russian federal university journal combined with the regex detection of ""Republi"
https://doi.org/10.15507/2413-1407.112.028.202003.516-542,https://openalex.org/W3087868562,The Media Image of the Republic of Crimea: The Russian Student’s World Model,2020,REGIONOLOGY,en,"Republic of Crimea, Republic of Crimea, Republic of Crimea","Introduction. In the context of geopolitical confrontation between Russia and the West, the task of purposeful construction of the media image of the Republic of Crimea is of relevance. The objective of this paper is to reveal the communicative and functional as well as the structural and semiotic r","RUSSIA

The paper consistently uses ""Republic of Crimea"" as a standalone designation (repeated three times in the abstract) without any qualifier indicating Ukrainian sovereignty, and frames the resea"
https://doi.org/10.22627/2072-8107-2018-17-4-69-72,https://openalex.org/W2903442245,The Case of Tick-borne Spotted Fever in a Child Arriving from the Crimea,2018,CHILDREN INFECTIONS,en,Republic of Crimea,"A case of Tick-borne spotted fever in a child after a visit to an endemic region, the Republic of Crimea, is described. The disease caused difficulty in terms of clinical diagnosis, which led to the delayed prescription of specific therapy with doxycycline. The diagnosis of Тick-borne spotted fever ","RUSSIA

The paper uses ""Republic of Crimea"" as the standalone geographic designation without any qualifier (such as ""annexed,"" ""occupied,"" or ""Ukraine""), which aligns with Russian administrative nomen"
https://doi.org/10.18184/2079-4665.2022.13.4.720-736,https://openalex.org/W4313498891,Methodology for assessing the development of regional production infrastructure (on the example of the Republic of Crimea),2023,MIR (Modernization Innovation Research),en,"Republic of Crimea, Republic of Crimea, Republic of Crimea","Purpose : is to present the author's methodology for assessing the regional production infrastructure, formed on the example of the Republic of Crimea, which allows identifying the drivers of its development to ensure the growth of the region's economy. Methods : the methodological basis of the stud","**RUSSIA**

The paper consistently uses ""Republic of Crimea"" as a standalone administrative designation without any qualifier indicating Ukrainian sovereignty or contested status, and appears in a Rus"
https://doi.org/10.1051/e3sconf/202022404015,https://openalex.org/W3115359817,Current nature and problems of agricultural land management in the Republic of Crimea,2020,E3S Web of Conferences,en,Republic of Crimea,"The main problems of the nature and management of agricultural land under the conditions of modern soil management have been considered. Among the processes which cause soil structure decline on the Crimean peninsula, predominate: erosion, deflation, dehumification, secondary salinization and alkali","RUSSIA

The paper uses ""Republic of Crimea"" as the primary territorial designation without qualification, qualifier language, or reference to Ukrainian sovereignty or the 2014 annexation, treating it "
https://doi.org/10.37279/2312-5330-2020-3-206-215,https://openalex.org/W3136753068,ANALYSIS OF SOCIO-ECONOMIC DEVELOPMENT OF THE REPUBLIC OF CRIMEA,2021,Scientific Bulletin finance banking investment,en,"REPUBLIC OF CRIMEA, Republic of Crimea, Republic of Crimea","In conditions of instability and inconsistency of socio-economic processes of territorial development, the main task of scientific research and practical actions is to form the financial security of regions. Each territory must adapt to the complex conditions of political and socio-economic instabil","RUSSIA

The paper consistently uses ""Republic of Crimea"" as the primary territorial designation without qualifiers like ""annexed,"" ""occupied,"" or ""Ukrainian,"" and treats it as an autonomous administra"
https://doi.org/10.1088/1755-1315/459/2/022021,https://openalex.org/W3017140363,Ecological and Economic Evaluation of the Disturbed Lands Recultivation Projects in the Republic of Crimea,2020,IOP Conference Series Earth and Environmental Science,en,"Republic of Crimea, Republic of Crimea","Abstract The development of the extractive industry leads to the increase in the number of quarries on the territory of the Crimean peninsula and, as a consequence, to the increase of the area occupied by the disturbed lands requiring recultivation. The reclamation of such land plots on the basis of","RUSSIA: The paper refers to the territory exclusively as ""Republic of Crimea"" without any qualifier indicating Ukrainian sovereignty or contested status, adopting the Russian administrative designatio"
https://doi.org/10.56654/ropi-2022-5(5)-84-93,https://openalex.org/W4319770262,Ideological and Value Impact of Turkey on Processes in Information Space of Republic of Crimea,2023,Russia society politics history,en,"Republic of Crimea, Republic of Crimea, Republic of Crimea","The article focused on the ideological and value impact of the Republic of Turkey on interethnic processes in the information space of the Republic of Crimea in the period 2021-2022. As part of the study, there were analyzed statements by official Turkish representatives, materials of Telegram chann","RUSSIA

The paper consistently refers to ""Republic of Crimea"" as a standalone administrative entity and discusses it within Russia's information space and policy framework, without acknowledging Ukrai"
https://doi.org/10.24975/2313-8920-2017-4-1-73-79,https://openalex.org/W2801803045,CRIMEAN TATAR FACTOR IN CRIMEA: THE CURRENT STATE AND PROSPECTS,2017,Post-Soviet Issues,en,"Autonomous Republic of Crimea, reunification of Crimea","The article deals with the current situation of the Crimean Tatars in Crimea after joining Russia. It is considered a number of decisions taken by Russia, which changed the life of this national minority. For example, according an official status to the Crimean-Tatar language or improving living con","RUSSIA

The abstract frames Crimea's post-2014 status as settled fact by using phrases like ""after joining Russia"" and focusing on Russian administrative decisions (""according official status,"" ""creat"
https://doi.org/10.3390/v16111716,https://openalex.org/W4403948088,Current Trends in HIV Infection in the Republic of Crimea,2024,Viruses,en,"Republic of Crimea, Republic of Crimea","The aim of this study was to analyse the trends in HIV infection, including diagnostic ones, in the Republic of Crimea in the period of 2014-2023. The source of data for this study was various statistical forms and reports. The findings revealed a significant downward trend in HIV incidence and a si","RUSSIA

The paper consistently uses ""Republic of Crimea"" as the default territorial designation without any qualifier indicating Ukrainian sovereignty, contested status, or Russian annexation, which i"
,https://openalex.org/W3147277306,FEATURES AND NEW OPPORTUNITIES OF THE REPUBLIC OF CRIMEA TOURISM INDUSTRY,2019,Revista Inclusiones,en,"REPUBLIC OF CRIMEA, Republic of Crimea, Republic of Crimea","The aim of this work is to study the state of the tourism industry of the Republic of Crimea and determine its prospects. The tourism industry in the Republic of Crimea acts as a catalyst for the sustainable functioning and development of the regional socio-economic system, and allows us to search f","RUSSIA: The paper uses ""Republic of Crimea"" as the default sovereign entity without any qualifying language (such as ""annexed,"" ""occupied,"" or ""Ukrainian""), and treats it as an autonomous political-ad"
https://doi.org/10.3103/s0891416816020051,https://openalex.org/W2508020307,A new genetic variant of the Crimean–Congo hemorrhagic fever virus isolated in Crimea,2016,Molecular Genetics Microbiology and Virology,en,"Crimean Federal District, Crimean Federal District",This work represents the results of the genetic identification of the Crimean-Congo hemorrhagic fever virus (CCHF virus) strains isolated in the Crimean Federal District in conducting the epidemiological survey of the imported case of CCHF from Crimea in 2015. One sample of the serum from a patient ,"RUSSIA

The paper uses ""Crimean Federal District"" as the default administrative designation, which reflects Russian territorial classification post-2014, without any qualifier indicating contested sta"
https://doi.org/10.12737/article_59360729bf9a86.75280866,https://openalex.org/W2623560034,EPIDEMIOLOGY OF TUBERCULOSIS IN THE REPUBLIC OF CRIMEA: CURRENT INSIGHTS,2017,Bulletin physiology and pathology of respiration,en,REPUBLIC OF CRIMEA,".. 1 , .. 1 , .. 1 , .. 2 1 .., .., 295006, , . , , 5/7 2","RUSSIA

The paper uses ""Republic of Crimea"" as the default administrative designation without qualification or acknowledgment of contested sovereignty, which aligns with Russian administrative framing"
https://doi.org/10.18413/2658-3453-2020-2-2-79-98,https://openalex.org/W3156469406,"Application of Malaise traps to study the fauna of phytophagus beetles (coleoptera: chrysomeloidea, curculionoidea) of the Karadag nature reserve (republic of Crimea)",2020,FIELD BIOLOGIST JOURNAL,en,republic of Crimea,"Analysis of the collection of beetles obtained using three Malaise traps during the field season of 2019 in the Karadag Nature Reserve revealed 46 species of phytophagous beetles from 6 families. Of these, 20 species for the fauna of Karadag were first indicated. Two species – Bruchus tristiculus (B","RUSSIA: The paper uses ""Republic of Crimea"" as the primary territorial designation and treats it as an established administrative unit without qualification, qualification markers, or acknowledgment o"
https://doi.org/10.18522/2227-8656.2020.2.14,https://openalex.org/W3037208064,MIGRATION ATTRACTIVENESS OF THE REPUBLIC OF CRIMEA,2020,HUMANITIES OF THE SOUTH OF RUSSIA,en,"REPUBLIC OF CRIMEA, Republic of Crimea","This article discusses migration processes in the Republic of Crimea and the migration attractiveness of this region. As a result of the research, the authors come to the conclusion that the migration attractiveness of Crimea consists of the following factors: the socio – economic situation of the r","RUSSIA

The paper consistently uses ""Republic of Crimea"" as the primary designation, publishes in a Russian journal, and frames migration analysis within Russian regional development contexts without "
https://doi.org/10.12737/7918,https://openalex.org/W2318275434,Potenal and prospects of invesng in the tourism and recreaon industry of the Republic of Crimea,2015,Service & Tourism Current Challenges,en,"Republic of Crimea, Republic of Crimea, Republic of Crimea",In the article the author makes an attempt to analyze the investment potential of tourism and recreation industry of Crimea taking into account modern geopolitical and socio-economic realities. Main resultsand tendencies of investment activity on the territory of the Republic of Crimea in 2013-2014 ,"RUSSIA

The paper consistently uses ""Republic of Crimea"" as the default administrative designation without qualifier, framing it as an entity suitable for independent investment analysis, which aligns"
https://doi.org/10.14529/em090401,https://openalex.org/W2346955888,RECREATIONAL WATER RESOURCES: DYNAMICS AT THE MARKET OF SPA SERVICES IN THE SOUTHERN COAST OF THE CRIMEA,2015,Bulletin of South Ural State University series Economics and management,en,"Republic of Crimea, Republic of Crimea",The article deals with various aspects of the SPA services market development in the territory of the southern coast of the Crimea. The analysis of organizations and hotels providing corresponding services is conducted. The complex of outputs and services in sphere of SPA procedures and realization ,"RUSSIA

The paper consistently uses ""Republic of Crimea"" as the default administrative designation and publishes in a Russian state university journal, treating Crimea's territorial status as settled "
https://doi.org/10.2991/iscfec-18.2019.138,https://openalex.org/W2912019970,Approach to Modeling Promotion of the Destination of the Republic of Crimea on the Market of Services,2019,"Proceedings of the International Scientific Conference ""Far East Con"" (ISCFEC 2018)",en,Republic of Crimea,,"RUSSIA

The paper uses the formal Russian administrative designation ""Republic of Crimea"" as the primary framing without qualification, qualifier language acknowledging dispute, or alternative territo"
